,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
204,SAN PATRICIO,011,5344,9940,400,323,170,58,6,7,0,18202,12037,5493,217,101,317,37,1052,950,8,700,177,25.3%,458,53,12,523,74.7%,700,505,176,19,1249,892,775,402,847,43,18202,296,16.3,700,177,25.3%,,,228,607,20,3.3%,449,94,18202,163,9.0,56,90,72,100,,,,,,,,,,,,,,,,134,0,58,12,18,18,53,0,2,3,640,101,162,69,100,98,14097,25,1909,4,44,13,0,18202,0,27,2,0,1,30,202,256,254,0,2,,,,,
205,SAN SABA,007,480,1368,22,13,10,5,0,0,0,1180,518,639,6,3,6,8,79,74,0,57,20,35.1%,35,2,0,37,64.9%,57,45,6,6,104,64,60,22,82,9,1180,38,32.2,57,20,35.1%,,,7,16,3,18.8%,31,8,1180,50,42.4,13,31,17,18,,,,,,,,,,,,,,,,47,0,18,1,10,1,20,0,0,0,20,3,48,4,18,17,934,1,31,1,12,4,2,1180,2,6,1,0,0,9,83,6,6,0,0,,,,,
206,SCHLEICHER,009,213,608,11,11,8,1,0,0,0,1119,531,571,11,2,4,0,21,19,0,12,5,41.7%,6,1,0,7,58.3%,12,8,2,2,18,8,6,7,11,4,1119,10,8.9,12,5,41.7%,,,7,19,0,0.0%,0,0,1119,13,11.6,4,5,4,4,,,,,,,,,,,,,,,,12,0,4,0,0,3,5,0,0,0,23,5,9,3,4,4,854,1,20,1,12,0,0,1119,0,0,0,0,0,0,0,2,2,0,0,,,,,
207,SCURRY,002,1211,2634,93,68,51,25,0,0,0,4437,2403,1852,85,3,88,6,275,229,1,168,41,24.4%,120,6,1,127,75.6%,168,130,32,6,310,227,209,81,229,13,4437,71,16.0,168,41,24.4%,,,51,119,8,6.7%,59,9,4437,37,8.3,24,15,21,23,,,,,,,,,,,,,,,,31,0,25,0,1,3,10,0,1,0,121,17,36,11,23,23,3510,4,374,0,0,4,2,4437,0,4,0,0,0,4,8,39,39,0,0,,,,,
208,SHACKELFORD,002,245,723,37,28,21,8,0,1,0,815,121,668,6,4,16,0,43,37,0,24,7,29.2%,14,3,0,17,70.8%,24,20,4,0,33,23,19,4,29,0,815,7,8.6,24,7,29.2%,,,11,27,6,22.2%,11,0,815,7,8.6,6,4,3,5,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,0,0,0,25,5,7,3,5,5,614,1,51,0,0,1,0,815,0,3,0,0,0,3,9,0,0,0,0,,,,,
209,SHELBY,005,2034,4629,150,110,86,50,8,4,2,6943,1955,3635,1216,16,105,16,289,244,2,209,54,25.8%,130,24,1,155,74.2%,209,180,15,14,328,231,189,60,268,33,6943,90,13.0,209,54,25.8%,1,0,27,78,12,15.4%,33,10,6943,99,14.3,43,60,35,59,,,,,,,,,,,,,,,,86,0,51,8,2,12,29,0,1,1,103,18,95,28,59,57,5393,3,158,1,9,1,3,6943,1,17,0,0,0,18,57,20,20,0,0,,,,,
210,SHERMAN,001,300,490,4,4,3,2,0,0,0,857,511,335,2,2,4,3,20,15,0,13,5,38.5%,7,1,0,8,61.5%,13,10,1,2,17,11,10,4,13,2,857,6,7.0,13,5,38.5%,,,1,5,0,0.0%,9,3,857,3,3.5,2,0,3,3,,,,,,,,,,,,,,,,3,0,2,0,0,0,3,0,0,0,9,2,3,2,3,3,650,1,51,0,0,2,0,857,0,0,0,0,0,0,0,5,4,0,1,,,,,
211,SMITH,004,14656,34402,1207,830,534,324,59,42,7,56308,16672,26364,10591,773,1757,151,1920,1568,19,1434,330,23.0%,953,127,24,1104,77.0%,1434,1227,114,93,2377,1729,1489,425,1952,192,56308,593,10.5,1434,330,23.0%,1,0,259,684,84,12.3%,243,36,56308,537,9.5,258,281,250,327,,,,,,,,,,,,,,,,432,0,267,24,56,51,85,1,9,3,748,348,531,433,327,314,43715,83,8579,6,72,40,9,56308,12,111,3,0,3,129,516,300,300,0,0,,,,,
212,SOMERVELL,003,517,1628,24,18,14,9,0,0,0,2190,699,1379,25,16,60,11,91,83,0,62,13,21.0%,41,8,0,49,79.0%,62,54,5,3,99,71,56,18,81,3,2190,19,8.7,62,13,21.0%,,,6,12,1,8.3%,25,8,2190,15,6.8,6,4,11,12,,,,,,,,,,,,,,,,12,0,6,0,1,3,3,0,0,0,19,3,15,7,12,12,1567,4,178,1,12,2,2,2190,0,4,0,0,0,4,14,1,1,0,0,,,,,
213,STARR,011,6550,7678,202,155,69,35,3,2,0,20828,20088,691,1,33,10,5,556,474,8,402,69,17.2%,293,38,2,333,82.8%,402,342,54,6,675,539,474,109,566,11,20828,123,5.9,402,69,17.2%,,,91,264,14,5.3%,277,75,20828,86,4.1,24,25,53,65,,,,,,,,,,,,,,,,60,0,24,1,5,1,42,0,1,0,240,33,78,24,65,65,16038,36,2272,3,36,3,9,20828,0,9,0,0,0,9,43,65,65,0,0,,,,,
214,STEPHENS,002,698,1941,122,98,76,30,2,3,1,2280,793,1405,33,6,32,11,136,110,0,85,15,17.6%,63,7,0,70,82.4%,85,79,3,3,154,121,111,13,141,2,2280,28,12.3,85,15,17.6%,,,16,43,0,0.0%,33,3,2280,16,7.0,1,6,10,14,,,,,,,,,,,,,,,,10,0,1,3,1,2,6,0,0,0,44,12,16,7,14,13,1754,1,163,1,12,0,3,2280,0,3,0,0,0,3,3,1,1,0,0,,,,,
215,STERLING,009,53,246,2,1,0,0,0,0,0,278,107,157,3,0,6,5,14,14,0,14,5,35.7%,8,1,0,9,64.3%,14,11,1,2,29,12,11,11,18,1,278,17,61.2,14,5,35.7%,,,2,9,0,0.0%,0,0,278,7,25.2,1,1,0,0,,,,,,,,,,,,,,,,7,0,7,0,0,0,7,0,0,0,9,0,1,1,0,0,222,1,35,0,0,0,0,278,0,1,0,0,0,1,2,0,0,0,0,,,,,
216,STONEWALL,002,124,398,7,6,3,4,0,0,0,316,79,215,8,7,7,0,8,7,0,5,1,20.0%,2,2,0,4,80.0%,5,4,1,0,5,4,2,1,4,0,316,1,3.2,5,1,20.0%,,,3,6,0,0.0%,0,0,316,5,15.8,0,0,5,5,,,0,0,0,5,0,0,0,,,,,,,5,0,0,0,0,5,0,0,0,0,6,0,5,6,5,5,238,0,0,1,12,1,0,316,0,1,0,0,0,1,7,2,2,0,0,,,,,
217,SUTTON,009,189,748,28,18,14,8,0,0,0,1114,794,314,0,0,6,0,33,23,0,15,1,6.7%,13,1,0,14,93.3%,15,14,1,0,27,23,22,4,23,0,1114,4,3.6,15,1,6.7%,,,3,11,4,36.4%,9,4,1114,6,5.4,4,4,0,0,,,,,,,,,,,,,,,,6,0,4,0,0,0,6,0,0,0,13,2,4,1,0,0,838,1,43,0,0,2,2,1114,0,2,0,0,0,2,9,8,8,0,0,,,,,
218,SWISHER,001,673,1424,39,32,22,14,0,0,0,2013,1109,737,111,0,44,12,83,67,0,43,14,32.6%,26,3,0,29,67.4%,43,35,8,0,74,39,35,25,49,0,2013,32,15.9,43,14,32.6%,,,16,43,0,0.0%,16,6,2013,24,11.9,0,15,9,10,,,,,,,,,,,,,,,,16,0,0,1,7,3,6,0,1,0,52,17,24,6,10,10,1566,2,200,0,0,2,0,2013,0,4,0,0,0,4,11,10,10,0,0,,,,,
219,TARRANT,003,109922,196373,6499,4488,2350,728,656,557,39,529252,206246,191093,84185,25291,20508,1929,20820,18477,179,14122,3840,27.2%,7890,2102,290,10282,72.8%,14122,12307,1438,377,23061,15947,11858,3577,19484,586,529252,6213,11.7,14122,3840,27.2%,16,0,2118,5914,89,1.5%,4154,795,529252,2009,3.8,652,585,1298,1610,,,,,,,,,,,,,,,,1628,8,669,116,265,280,559,0,17,3,6300,1488,1883,821,1610,1561,407275,637,74227,113,1352,433,570,529252,38,641,6,0,1,686,2088,2479,1371,870,238,,,,,
220,TAYLOR,002,12168,19144,1616,1141,834,356,343,324,43,33528,11496,17357,2705,372,1490,108,2708,2220,27,1764,550,31.2%,1095,107,12,1214,68.8%,1764,1371,266,127,2890,1887,1697,731,2159,193,33528,914,27.3,1764,550,31.2%,2,0,432,1178,90,7.6%,469,117,33528,513,15.3,258,199,282,388,,,,,,,,,,,,,,,,441,0,260,15,53,29,141,0,0,2,1200,333,481,342,388,384,26756,49,5141,4,48,34,30,33528,6,95,4,0,0,105,388,433,316,0,117,,,,,
221,TERRELL,009,41,276,3,2,2,0,0,0,0,213,127,83,0,2,1,0,10,3,0,5,1,20.0%,3,1,0,4,80.0%,5,4,1,0,5,4,3,1,4,0,213,1,4.7,5,1,20.0%,,,2,2,0,0.0%,1,0,213,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,169,0,0,0,0,0,0,213,0,0,0,0,0,0,0,1,1,0,0,,,,,
222,TERRY,001,1284,1969,196,180,145,74,0,0,0,3384,2168,1060,100,5,41,10,154,136,1,107,16,15.0%,88,2,1,91,85.0%,107,99,6,2,176,144,140,15,161,1,3384,30,8.9,107,16,15.0%,,,21,72,1,1.4%,62,23,3384,42,12.4,2,26,13,18,,,,,,,,,,,,,,,,29,0,2,2,14,4,9,0,1,1,90,27,39,5,18,18,2655,1,100,3,36,0,1,3384,0,2,0,0,0,2,3,61,59,0,2,,,,,
223,THROCKMORTON,002,89,452,12,7,7,5,0,0,0,322,54,261,3,4,0,0,20,16,0,11,2,18.2%,5,4,0,9,81.8%,11,9,2,0,26,21,16,7,19,0,322,5,15.5,11,2,18.2%,,,3,6,0,0.0%,0,0,322,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,246,1,12,0,0,0,0,322,0,0,0,0,0,0,0,9,9,0,0,,,,,
224,TITUS,004,3023,4441,95,69,44,19,4,3,0,10093,5885,3148,756,78,176,50,299,229,3,192,56,29.2%,118,13,5,136,70.8%,192,155,17,20,323,220,188,68,255,33,10093,99,9.8,192,56,29.2%,,,26,66,8,12.1%,149,17,10093,73,7.2,43,40,32,43,,,,,,,,,,,,,,,,66,0,43,1,7,5,17,0,1,1,80,29,72,21,43,42,7893,6,1065,0,0,0,1,10093,0,5,0,0,0,5,11,68,68,0,0,,,,,
225,TOM GREEN,009,7870,17186,1269,794,555,305,1117,1065,73,27329,13662,11815,847,220,696,89,1465,1297,17,1125,279,24.8%,747,75,24,846,75.2%,1125,896,167,62,1821,1323,1154,400,1421,109,27329,447,16.4,1125,279,24.8%,1,0,266,677,55,8.1%,420,89,27329,540,19.8,144,281,241,317,,,,,,,,,,,,,,,,393,0,147,5,82,68,117,0,0,4,749,194,522,205,317,313,21458,51,5150,5,60,18,20,27329,5,49,2,0,0,56,233,370,322,0,48,,,,,
226,TRAVIS,007,59231,95354,4359,2521,983,210,977,899,133,277652,132336,98320,21725,15039,9635,597,13244,10818,102,7701,1618,21.0%,5585,408,90,6083,79.0%,7701,6842,487,372,12354,9492,8649,1538,10816,595,277652,2495,9.0,7701,1618,21.0%,,,649,1679,138,8.2%,973,170,277652,1733,6.2,745,986,692,1053,,,,,,,,,,,,,,,,1509,1,749,26,247,261,409,3,23,21,2325,1067,1678,971,1053,1019,223614,531,50089,68,809,176,133,277652,23,362,6,0,2,393,1091,2541,678,1617,246,,,,,
227,TRINITY,005,2197,3952,134,110,83,68,0,0,0,2976,455,2091,330,6,77,17,241,199,2,146,45,30.8%,91,10,0,101,69.2%,146,120,13,13,236,149,132,50,186,21,2976,84,28.2,146,45,30.8%,,,15,49,0,0.0%,24,2,2976,49,16.5,32,26,23,28,,,,,,,,,,,,,,,,44,0,32,0,3,3,10,0,2,0,62,23,49,29,28,28,2240,4,240,0,0,1,1,2976,0,4,0,0,0,4,17,24,9,0,15,,,,,
228,TYLER,005,2500,4708,125,82,50,19,0,0,0,4113,229,3344,391,13,112,24,317,271,2,190,48,25.3%,108,31,3,142,74.7%,190,161,18,11,346,249,190,47,299,15,4113,82,19.9,190,48,25.3%,,,21,58,8,13.8%,21,4,4113,44,10.7,26,25,18,25,,,,,,,,,,,,,,,,37,0,27,2,4,1,13,1,6,0,62,10,43,10,25,24,3123,5,287,2,24,1,0,4113,0,11,1,0,1,13,86,53,53,0,0,,,,,
229,UPSHUR,004,4392,7528,217,178,137,66,1,1,0,9926,1362,7213,826,49,426,50,491,413,6,350,95,27.1%,232,16,7,255,72.9%,350,305,23,22,570,397,364,79,491,34,9926,148,14.9,350,95,27.1%,,,44,113,18,15.9%,91,18,9926,89,9.0,45,45,41,63,,,,,,,,,,,,,,,,75,0,45,0,9,3,23,0,4,1,129,61,86,34,63,61,7489,5,465,3,36,8,0,9926,0,18,0,0,0,18,80,54,54,0,0,,,,,
230,UPTON,009,229,615,9,7,3,2,0,0,0,972,595,348,12,0,6,11,35,30,0,26,8,30.8%,16,2,0,18,69.2%,26,21,5,0,43,32,28,8,35,1,972,11,11.3,26,8,30.8%,,,6,14,1,7.1%,15,0,972,7,7.2,2,5,2,2,,,,,,,,,,,,,,,,3,0,2,0,0,0,1,0,0,0,0,2,7,39,2,2,748,1,20,0,0,0,0,972,0,2,0,0,0,2,3,0,0,0,0,,,,,
231,UVALDE,008,2028,4533,129,91,23,10,1,0,0,7796,6372,1280,31,31,58,24,415,334,3,247,58,23.5%,183,5,1,189,76.5%,247,190,37,20,439,324,315,107,332,30,7796,102,13.1,247,58,23.5%,,,55,146,7,4.8%,58,12,7796,87,11.2,38,51,35,49,,,,,,,,,,,,,,,,65,0,37,1,16,5,10,0,1,0,156,40,86,22,49,48,5968,13,920,2,24,1,1,7796,0,9,0,0,0,9,25,80,80,0,0,,,,,
232,VAL VERDE,008,2618,7080,176,128,58,27,4,4,1,15158,13153,1652,134,68,124,27,419,352,4,271,37,13.7%,226,8,0,234,86.3%,271,255,12,4,479,415,399,29,450,5,15158,56,3.7,271,37,13.7%,,,15,51,0,0.0%,86,8,15158,38,2.5,4,17,18,25,,,,,,,,,,,,,,,,22,0,4,2,7,1,10,0,0,2,56,18,35,9,25,25,11887,14,1062,3,36,3,5,15158,1,7,0,0,0,8,12,606,596,0,10,,,,,
233,VAN ZANDT,004,4884,11369,339,236,134,67,1,2,0,12538,2212,9514,339,44,329,100,610,487,7,413,108,26.2%,258,32,15,305,73.8%,413,349,24,40,696,486,421,119,577,71,12538,182,14.5,413,108,26.2%,,,40,108,9,8.3%,180,24,12538,199,15.9,70,93,101,133,,,,,,,,,,,,,,,,151,0,73,2,27,14,45,0,10,6,160,97,194,61,133,130,9264,11,1097,4,48,4,1,12538,0,44,0,0,0,44,147,76,76,0,0,,,,,
234,VICTORIA,008,6891,13501,432,295,157,46,8,10,0,23457,13685,7539,1412,257,520,44,1090,766,11,737,160,21.7%,531,40,6,577,78.3%,737,643,76,18,1187,911,832,178,1009,23,23457,252,10.7,737,160,21.7%,,,104,286,29,10.1%,259,52,23457,220,9.4,42,88,125,148,,,,,,,,,,,,,,,,168,0,42,42,34,20,48,1,7,2,320,51,213,52,148,143,18310,41,3404,19,226,17,10,23457,3,35,2,0,1,41,215,465,448,0,17,,,,,
235,WALKER,006,4319,8291,165,133,66,25,3,3,1,12035,3190,5493,2569,187,539,57,483,381,2,319,62,19.4%,214,34,9,257,80.6%,319,271,41,7,532,430,358,88,444,14,12035,89,7.4,319,62,19.4%,,,61,162,3,1.9%,94,10,12035,65,5.4,18,36,26,34,,,,,,,,,,,,,,,,43,0,17,3,9,7,15,1,2,1,177,13,62,29,34,33,9514,20,1807,0,0,14,2,12035,0,15,1,0,1,17,304,47,25,0,22,,,,,
236,WALLER,006,3623,6241,138,109,47,36,3,5,1,12249,5808,3826,2288,61,234,32,337,302,3,265,52,19.6%,194,13,6,213,80.4%,265,232,19,14,403,319,292,54,349,19,12249,75,6.1,265,52,19.6%,,,29,85,3,3.5%,81,7,12249,70,5.7,21,40,23,37,,,,,,,,,,,,,,,,64,0,25,10,6,5,22,0,1,1,111,10,63,29,37,36,9364,12,899,4,48,8,4,12249,0,14,0,0,0,14,34,24,15,0,9,,,,,
237,WARD,009,924,1783,79,48,35,14,0,0,0,2879,1700,961,148,7,51,12,138,105,2,93,17,18.3%,59,14,3,76,81.7%,93,76,10,7,172,143,108,32,140,7,2879,29,10.1,93,17,18.3%,,,13,39,0,0.0%,61,7,2879,24,8.3,7,11,12,15,,,,,,,,,,,,,,,,18,0,7,0,7,0,6,0,0,0,11,8,23,50,15,15,2278,2,139,0,0,2,1,2879,0,0,0,0,0,0,0,11,11,0,0,,,,,
238,WASHINGTON,007,2437,7188,133,84,31,10,220,202,26,7718,2104,3746,1584,109,162,13,259,220,4,144,37,25.7%,94,12,1,107,74.3%,144,128,3,13,224,148,131,31,193,21,7718,62,8.0,144,37,25.7%,,,6,23,1,4.3%,26,11,7718,63,8.2,22,37,25,40,,,,,,,,,,,,,,,,50,0,22,0,8,7,20,0,3,3,31,17,62,26,40,40,5943,12,1154,3,36,8,4,7718,0,6,1,0,0,7,41,94,88,0,6,,,,,
239,WEBB,011,17230,24222,888,610,268,104,50,50,4,93646,90825,2142,131,391,140,17,2697,2258,23,1621,340,21.0%,1171,83,27,1281,79.0%,1621,1209,326,86,2876,2172,1975,813,2063,155,93646,563,6.0,1621,340,21.0%,,,564,1879,43,2.3%,971,153,93646,641,6.8,191,209,411,497,,,,,,,,,,,,,,,,458,0,197,35,61,30,224,1,10,2,1839,293,620,253,497,492,72478,98,6940,35,415,162,24,93646,4,86,2,0,0,92,404,646,571,0,75,,,,,
240,WHARTON,006,2684,6661,147,115,73,26,15,18,0,10951,5685,3630,1454,35,136,11,375,293,4,242,28,11.6%,184,25,5,214,88.4%,242,217,22,3,413,364,297,48,365,11,10951,38,3.5,242,28,11.6%,,,35,119,0,0.0%,119,10,10951,29,2.6,10,14,16,21,,,,,,,,,,,,,,,,21,0,10,0,3,1,7,0,3,1,123,4,30,23,21,21,8498,14,1465,3,36,7,2,10951,0,9,0,0,0,9,32,95,71,0,24,,,,,
241,WHEELER,001,405,1084,10,8,7,5,0,0,0,1402,672,663,35,3,27,2,41,34,0,30,5,16.7%,20,5,0,25,83.3%,30,29,0,1,56,44,37,3,53,3,1402,11,7.8,30,5,16.7%,,,5,11,0,0.0%,9,0,1402,6,4.3,0,5,1,3,,,,,,,,,,,,,,,,5,0,0,2,2,0,2,0,1,0,8,3,6,2,3,3,1108,1,80,0,0,1,0,1402,0,1,0,0,0,1,4,19,19,0,0,,,,,
242,WICHITA,002,9635,18484,1855,1166,905,355,409,390,27,31225,8655,17177,3161,589,1310,333,1944,1724,19,1417,427,30.1%,816,161,13,990,69.9%,1417,1126,241,50,2320,1558,1260,554,1766,65,31225,684,21.9,1417,427,30.1%,1,0,312,807,37,4.6%,471,140,31225,294,9.4,89,109,166,239,,,,,,,,,,,,,,,,226,0,90,16,42,18,81,0,2,0,801,224,275,191,239,239,24548,50,4049,18,216,22,26,31225,4,48,1,0,0,53,201,182,56,0,126,,,,,
243,WILBARGER,002,1588,2374,140,88,65,27,363,347,17,3562,1511,1624,276,20,96,35,172,149,3,106,30,28.3%,61,14,1,76,71.7%,106,91,12,3,195,123,97,40,155,7,3562,61,17.1,106,30,28.3%,1,0,17,52,1,1.9%,84,23,3562,27,7.6,13,3,25,22,,,,,,,,,,,,,,,,18,0,13,0,0,1,5,0,0,0,45,9,28,4,22,21,2849,8,419,2,24,5,6,3562,0,1,0,0,0,1,5,141,104,0,37,,,,,
244,WILLACY,011,2332,3056,142,110,79,54,0,0,0,6311,5879,373,19,3,30,7,282,256,1,227,65,28.6%,146,15,1,162,71.4%,227,161,56,10,428,294,261,145,283,15,6311,120,19.0,227,65,28.6%,,,70,218,5,2.3%,159,52,6311,54,8.6,17,34,20,31,,,,,,,,,,,,,,,,40,0,17,0,10,0,15,0,0,0,233,14,54,20,31,30,4970,7,539,1,12,2,3,6311,0,4,1,0,0,5,57,76,76,0,0,,,,,
245,WILLIAMSON,007,26908,57700,1009,682,324,88,210,184,25,140333,47166,70161,8924,7604,6063,415,4052,2937,28,2047,453,22.1%,1490,97,7,1594,77.9%,2047,1749,218,80,3117,2373,2202,494,2623,110,140333,672,4.8,2047,453,22.1%,4,0,335,834,56,6.7%,418,67,140333,433,3.1,173,215,217,270,,,,,,,,,,,,,,,,369,0,177,16,58,37,122,0,17,11,946,292,432,145,270,262,106004,253,32130,56,670,166,83,140333,7,254,5,0,1,267,971,634,606,0,28,,,,,
246,WILSON,008,3384,7525,132,96,44,13,1,1,0,11867,5687,5820,117,20,196,27,384,271,3,195,48,24.6%,129,9,9,147,75.4%,195,165,18,12,309,222,199,54,255,23,11867,74,6.2,195,48,24.6%,,,17,50,16,32.0%,51,6,11867,102,8.6,34,73,28,52,,,,,,,,,,,,,,,,87,0,34,3,29,21,10,0,0,1,64,14,101,29,52,51,8474,14,1192,1,12,10,8,11867,0,24,0,0,0,24,69,85,84,0,1,,,,,
247,WINKLER,009,605,1082,34,22,14,2,0,0,0,2134,1418,630,31,2,44,9,111,80,0,62,14,22.6%,43,4,1,48,77.4%,62,55,6,1,89,67,57,13,76,3,2134,22,10.3,62,14,22.6%,,,8,19,4,21.1%,29,1,2134,14,6.6,7,12,1,6,,,,,,,,,,,,,,,,12,0,7,0,0,1,4,0,0,0,3,3,13,4,6,6,1658,0,0,2,24,4,1,2134,0,1,0,0,0,1,1,4,4,0,0,,,,,
248,WISE,003,5645,9498,229,149,101,11,2,2,0,16466,4917,10935,112,69,331,102,727,642,7,472,108,22.9%,316,41,7,364,77.1%,472,398,41,33,779,575,502,136,643,58,16466,187,11.4,472,108,22.9%,,,64,155,2,1.3%,121,35,16466,152,9.2,66,63,77,105,,,,,,,,,,,,,,,,123,0,66,4,17,12,44,0,1,0,185,31,140,68,105,105,12193,27,1724,0,0,10,3,16466,0,12,0,0,0,12,30,5,5,0,0,,,,,
249,WOOD,004,4151,12635,269,210,136,88,0,0,0,8734,1630,6436,325,61,236,46,410,338,4,302,79,26.2%,187,28,8,223,73.8%,302,258,25,19,493,350,283,87,406,32,8734,129,14.8,302,79,26.2%,2,0,45,127,7,5.5%,60,15,8734,136,15.6,30,61,66,86,,,,,,,,,,,,,,,,112,0,30,3,35,11,42,0,4,1,177,61,127,47,86,85,6547,13,879,0,0,5,3,8734,0,18,1,0,0,19,95,20,20,0,0,,,,,
250,YOAKUM,001,604,1085,33,29,19,3,0,0,0,2623,1910,673,10,3,22,5,72,55,0,50,9,18.0%,38,3,0,41,82.0%,50,48,1,1,72,56,52,4,68,2,2623,15,5.7,50,9,18.0%,,,6,15,0,0.0%,20,2,2623,11,4.2,2,7,5,8,,,,,,,,,,,,,,,,11,0,2,0,4,2,3,0,1,1,19,6,12,5,8,7,2021,2,67,2,24,2,0,2623,0,3,0,0,0,3,5,1,1,0,0,,,,,
251,YOUNG,002,1572,3718,247,211,154,34,5,3,1,4587,1386,3022,54,11,89,25,268,238,4,198,37,18.7%,140,20,1,161,81.3%,198,177,14,7,321,257,230,35,286,9,4587,53,11.6,198,37,18.7%,,,31,72,2,2.8%,56,14,4587,34,7.4,10,19,13,20,,,,,,,,,,,,,,,,29,0,10,2,3,3,14,0,0,0,64,8,32,11,20,19,3531,9,499,1,12,3,3,4587,0,5,0,0,0,5,6,5,5,0,0,,,,,
252,ZAPATA,011,1269,1746,59,38,19,8,0,0,0,5327,5196,117,2,6,6,0,184,162,0,125,18,14.4%,87,19,1,107,85.6%,125,103,18,4,214,174,139,51,163,6,5327,27,5.1,125,18,14.4%,,,31,104,2,1.9%,115,15,5327,42,7.9,11,22,20,27,,,,,,,,,,,,,,,,26,0,11,0,2,2,13,0,0,0,107,2,42,5,27,27,4272,5,311,0,0,3,0,5327,0,4,0,0,0,4,12,110,92,0,18,,,,,
253,ZAVALA,008,1289,1683,66,45,15,4,0,0,0,3765,3623,124,13,0,5,0,167,141,3,122,31,25.4%,89,2,0,91,74.6%,122,91,22,9,262,192,187,65,197,21,3765,61,16.2,122,31,25.4%,,,26,93,5,5.4%,23,1,3765,54,14.3,23,39,16,16,,,,,,,,,,,,,,,,48,0,24,0,7,6,18,0,0,2,103,6,55,2,16,15,2993,9,613,0,0,1,1,3765,0,2,0,0,0,2,0,71,71,0,0,,,,,
254,UNKNOWN,,0,0,74,35,25,5,1,3,0,,,,,,,,32,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,STATEWIDE,,1703522,3225614,110277,78180,43759,16566,12952,11935,1192,7311923,3648331,2333857,830214,276413,201394,21714,,,,,,,,,,,,176868,149464,19319,8085,,,,,,,7311923,66721,9.1,176868,40506,22.9%,,,,,,,57728,10200,7311923,47348,6.5,17151,22506,23548,31197,,,,,,,,,,,,,,,,38719,20,17779,1867,6299,5495,12429,131,974,534,,,,,,,5647349,9458,1009741,1720,20494,5026,4678,,,,,,,,,44821,24097,16526,4198,,,,,
